levels	use_as	name	signature
level1	positive	Immune	
level1	positive	Lymphoid	
level1	negative	Myeloid	
level1	negative	Neutrophils	
level2	positive	Tcell	
level3	negative	CD4Tcells	
level3	positive	CD8Tcells	
level4	positive	CD8aa_T_cells	
level4	positive	CD8a.bentry	
level4	positive	KLRB1_MAIT_cells_TRAV1.2	
level4	positive	NK_CD8_T_cells	
level4	positive	Tcm.Naive_cytotoxic_T_cells	
level4	positive	Tem.Temra_cytotoxic_T_cells	
level4	positive	Tem.Trm_cytotoxic_CD8_T_cells	
level4	positive	Trm_cytotoxic_T_cells	
level4	positive	Gamma.delta_T_cells	
level4	positive	CD8Tcells	
